user_id,archetype,preferred_categories,issue_count,pr_count,push_count,repo_diversity,collab_density,label_diversity,sprint_velocity,recency_weight
u00000,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",42,14,46,4,0.711,12,15,0.955
u00001,scrum_team_member,"Agile/Scrum,Release Management",59,53,71,8,0.671,3,8,0.775
u00002,kanban_ops,"Kanban,Customer Support,Bug Triage",9,7,22,7,0.431,5,3,0.762
u00003,kanban_ops,"Kanban,Customer Support,Bug Triage",11,7,8,3,0.543,11,6,0.761
u00004,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",46,5,8,6,0.655,20,8,0.571
u00005,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",25,6,12,3,0.725,8,16,0.815
u00006,solo_hacker,"Kanban,Open Source,Research",2,1,36,18,0.102,4,3,0.641
u00007,scrum_team_member,"Agile/Scrum,Release Management",23,60,90,7,0.708,3,6,0.817
u00008,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",9,29,125,40,0.35,7,6,0.785
u00009,scrum_team_member,"Agile/Scrum,Release Management",30,41,65,4,0.626,6,12,0.852
u00010,kanban_ops,"Kanban,Customer Support,Bug Triage",6,15,9,8,0.541,11,4,0.678
u00011,oss_contributor,"Open Source,Research",8,24,39,88,0.257,2,2,0.691
u00012,scrum_team_member,"Agile/Scrum,Release Management",13,19,73,6,0.703,5,13,0.801
u00013,kanban_ops,"Kanban,Customer Support,Bug Triage",19,4,23,2,0.61,7,6,0.598
u00014,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",8,10,26,2,0.964,11,17,0.896
u00015,ml_researcher,"Research,Open Source",5,5,49,5,0.322,3,2,0.557
u00016,kanban_ops,"Kanban,Customer Support,Bug Triage",8,11,8,3,0.796,6,5,0.548
u00017,ml_researcher,"Research,Open Source",6,9,30,3,0.287,3,1,0.858
u00018,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",103,2,4,8,0.978,11,9,0.949
u00019,scrum_team_member,"Agile/Scrum,Release Management",51,15,37,4,0.73,5,8,0.71
u00020,design_sprint_pm,"Design Sprint,Agile/Scrum,Customer Support",28,2,19,17,0.92,33,17,0.916
u00021,incident_responder,"Incident Response,Bug Triage,DevOps/CI-CD",16,38,18,3,0.724,25,13,0.783
u00022,platform_engineer,"DevOps/CI-CD,Release Management,Incident Response",16,55,29,29,0.637,19,9,0.661
u00023,scrum_team_member,"Agile/Scrum,Release Management",91,12,48,4,0.605,4,11,0.863
